Date,Open,High,Low,Close,Adj Close,Volume
1/24/2020,320.25,323.329987,317.519989,318.309998,317.556335,36634400
1/23/2020,317.920013,319.559998,315.649994,319.230011,318.474182,26118000
1/22/2020,318.579987,319.98999,317.309998,317.700012,316.947815,25458100
1/21/2020,317.190002,319.019989,316,316.570007,315.820465,27710800
1/17/2020,316.269989,318.73999,315,318.730011,317.975372,34454100
1/16/2020,313.589996,315.700012,312.089996,315.23999,314.493591,27207300
1/15/2020,311.850006,315.5,309.549988,311.339996,310.602844,30480900
1/14/2020,316.700012,317.570007,312.170013,312.679993,311.939667,40488600
1/13/2020,311.640015,317.070007,311.149994,316.959991,316.209534,30383000
1/10/2020,310.600006,312.670013,308.25,310.329987,309.595215,35161200
1/9/2020,307.23999,310.429993,306.200012,309.630005,308.896912,42527100
1/8/2020,297.160004,304.440002,297.160004,303.190002,302.472137,33019800
1/7/2020,299.839996,300.899994,297.480011,298.390015,297.683533,27218000
1/6/2020,293.790009,299.959991,292.75,299.799988,299.090149,29596800
1/3/2020,297.149994,300.579987,296.5,297.429993,296.725769,36580700
1/2/2020,296.23999,300.600006,295.190002,300.350006,299.638885,33870100
12/31/2019,289.929993,293.679993,289.519989,293.649994,292.954712,25201400
12/30/2019,289.459991,292.690002,285.220001,291.519989,290.829773,36028600
12/27/2019,291.119995,293.970001,288.119995,289.799988,289.113831,36566500
12/26/2019,284.820007,289.980011,284.700012,289.910004,289.223602,23280300
12/24/2019,284.690002,284.890015,282.920013,284.269989,283.596924,12119700
12/23/2019,280.529999,284.25,280.369995,284,283.327576,24643000
12/20/2019,282.230011,282.649994,278.559998,279.440002,278.778381,68994500
12/19/2019,279.5,281.179993,278.950012,280.019989,279.356995,24592300
12/18/2019,279.799988,281.899994,279.119995,279.73999,279.077667,29007100
12/17/2019,279.570007,281.769989,278.799988,280.410004,279.746094,28539600
12/16/2019,277,280.790009,276.980011,279.859985,279.197357,32046500
12/13/2019,271.459991,275.299988,270.929993,275.149994,274.498535,33396900
12/12/2019,267.779999,272.559998,267.320007,271.459991,270.817261,34327600
12/11/2019,268.809998,271.100006,268.5,270.769989,270.128906,19689200
12/10/2019,268.600006,270.070007,265.859985,268.480011,267.84433,22605100
12/9/2019,270,270.799988,264.910004,266.920013,266.288025,32010600
12/6/2019,267.480011,271,267.299988,270.709991,270.069031,26518900
12/5/2019,263.790009,265.890015,262.730011,265.579987,264.951172,18606100
12/4/2019,261.070007,263.309998,260.679993,261.73999,261.12027,16795400
12/3/2019,258.309998,259.529999,256.290009,259.450012,258.835724,28607600
12/2/2019,267.269989,268.25,263.450012,264.160004,263.534546,23621800
11/29/2019,266.600006,268,265.899994,267.25,266.617249,11654400
11/27/2019,265.579987,267.980011,265.309998,267.839996,267.205841,16308900
11/26/2019,266.940002,267.160004,262.5,264.290009,263.664246,26301900
11/25/2019,262.709991,266.440002,262.519989,266.369995,265.739319,21005100
11/22/2019,262.589996,263.179993,260.839996,261.779999,261.160187,16331300
11/21/2019,263.690002,264.01001,261.179993,262.01001,261.389648,30348800
11/20/2019,265.540009,266.079987,260.399994,263.190002,262.566864,26558600
11/19/2019,267.899994,268,265.390015,266.290009,265.659515,19041800
11/18/2019,265.799988,267.429993,264.230011,267.100006,266.46759,21675800
11/15/2019,263.679993,265.779999,263.01001,265.76001,265.130768,25051600
11/14/2019,263.75,264.880005,262.100006,262.640015,262.018158,22295700
11/13/2019,261.130005,264.779999,261.070007,264.470001,263.843811,25683600
11/12/2019,261.549988,262.790009,260.920013,261.959991,261.339752,21847200
11/11/2019,258.299988,262.470001,258.279999,262.200012,261.579193,20455300
11/8/2019,258.690002,260.440002,256.850006,260.140015,259.524078,17496600
11/7/2019,258.73999,260.350006,258.109985,259.429993,258.815735,23735100
11/6/2019,256.769989,257.48999,255.369995,257.23999,255.862762,18966100
11/5/2019,257.049988,258.190002,256.320007,257.130005,255.753372,19974400
11/4/2019,257.329987,257.850006,255.380005,257.5,256.121368,25818000
11/1/2019,249.539993,255.929993,249.160004,255.820007,254.450378,37738700
10/31/2019,247.240005,249.169998,237.259995,248.759995,247.428162,34766600
10/30/2019,244.759995,245.300003,241.210007,243.259995,241.957611,30950600
10/29/2019,248.970001,249.75,242.570007,243.289993,241.987442,35660100
10/28/2019,247.419998,249.25,246.720001,249.050003,247.716614,24143200
10/25/2019,243.160004,246.729996,242.880005,246.580002,245.259842,18330500
10/24/2019,244.509995,244.800003,241.809998,243.580002,242.275894,17318800
10/23/2019,242.100006,243.240005,241.220001,243.179993,241.878036,18957200
10/22/2019,241.160004,242.199997,239.619995,239.960007,238.675293,20573400
10/21/2019,237.520004,240.990005,237.320007,240.509995,239.222336,21811800
10/18/2019,234.589996,237.580002,234.289993,236.410004,235.144302,24358400
10/17/2019,235.089996,236.149994,233.520004,235.279999,234.02034,16896300
10/16/2019,233.369995,235.240005,233.199997,234.369995,233.115204,18475800
10/15/2019,236.389999,237.649994,234.880005,235.320007,234.060135,21840000
10/14/2019,234.899994,238.130005,234.669998,235.869995,234.607178,24106900
10/11/2019,232.949997,237.639999,232.309998,236.210007,234.945358,41698900
10/10/2019,227.929993,230.440002,227.300003,230.089996,228.858124,28253400
10/9/2019,227.029999,227.789993,225.639999,227.029999,225.814514,18692600
10/8/2019,225.820007,228.059998,224.330002,224.399994,223.198593,27955000
10/7/2019,226.270004,229.929993,225.839996,227.059998,225.844345,30576500
10/4/2019,225.639999,227.490005,223.889999,227.009995,225.794617,34619700
10/3/2019,218.429993,220.960007,215.130005,220.820007,219.637756,28606500
10/2/2019,223.059998,223.580002,217.929993,218.960007,217.78772,34612300
10/1/2019,225.070007,228.220001,224.199997,224.589996,223.387573,34805800
9/30/2019,220.899994,224.580002,220.789993,223.970001,222.770889,25977400
9/27/2019,220.539993,220.960007,217.279999,218.820007,217.648483,25352000
9/26/2019,220,220.940002,218.830002,219.889999,218.712738,18833500
9/25/2019,218.550003,221.5,217.139999,221.029999,219.846634,21903400
9/24/2019,221.029999,222.490005,217.190002,217.679993,216.514557,31190800
9/23/2019,218.949997,219.839996,217.649994,218.720001,217.548996,19165500
9/20/2019,221.380005,222.559998,217.470001,217.729996,216.564285,55413100
9/19/2019,222.009995,223.759995,220.369995,220.960007,219.777023,22060600
9/18/2019,221.059998,222.850006,219.440002,222.770004,221.577332,25340000
9/17/2019,219.960007,220.820007,219.119995,220.699997,219.518402,18318700
9/16/2019,217.729996,220.130005,217.559998,219.899994,218.722687,21158100
9/13/2019,220,220.789993,217.020004,218.75,217.578842,39763300
9/12/2019,224.800003,226.419998,222.860001,223.089996,221.895599,32226700
9/11/2019,218.070007,223.710007,217.729996,223.589996,222.392929,44289600
9/10/2019,213.860001,216.779999,211.710007,216.699997,215.53981,31777900
9/9/2019,214.839996,216.440002,211.070007,214.169998,213.023361,27309400
9/6/2019,214.050003,214.419998,212.509995,213.259995,212.118225,19362300
9/5/2019,212,213.970001,211.509995,213.279999,212.138123,23913700
9/4/2019,208.389999,209.479996,207.320007,209.190002,208.070038,19188100
9/3/2019,206.429993,206.979996,204.220001,205.699997,204.598694,20023000
8/30/2019,210.160004,210.449997,207.199997,208.740005,207.622437,21143400
8/29/2019,208.5,209.320007,206.660004,209.009995,207.890976,20990500
8/28/2019,204.100006,205.720001,203.320007,205.529999,204.429626,15938800
8/27/2019,207.860001,208.550003,203.529999,204.160004,203.066956,25873300
8/26/2019,205.860001,207.190002,205.059998,206.490005,205.384476,26043600
8/23/2019,209.429993,212.050003,201,202.639999,201.555099,46818000
8/22/2019,213.190002,214.440002,210.75,212.460007,211.322525,22253700
8/21/2019,212.990005,213.649994,211.600006,212.639999,211.501556,21535400
8/20/2019,210.880005,213.350006,210.320007,210.360001,209.233765,26884300
8/19/2019,210.619995,212.729996,210.029999,210.350006,209.223816,24413600
8/16/2019,204.279999,207.160004,203.839996,206.5,205.394424,27620400
8/15/2019,203.460007,205.139999,199.669998,201.740005,200.659912,27227400
8/14/2019,203.160004,206.440002,202.589996,202.75,201.664505,36547400
8/13/2019,201.020004,212.139999,200.479996,208.970001,207.851212,47218500
8/12/2019,199.619995,202.050003,199.149994,200.479996,199.406647,22474900
8/9/2019,201.300003,202.759995,199.289993,200.990005,199.913925,24619700
8/8/2019,200.199997,203.529999,199.389999,203.429993,201.574982,27009500
8/7/2019,195.410004,199.559998,193.820007,199.039993,197.225006,33364400
8/6/2019,196.309998,198.070007,194.039993,197,195.203613,35824800
8/5/2019,197.990005,198.649994,192.580002,193.339996,191.576981,52393000
8/2/2019,205.529999,206.429993,201.630005,204.020004,202.159607,40862100
8/1/2019,213.899994,218.029999,206.740005,208.429993,206.529373,54017900
7/31/2019,216.419998,221.369995,211.300003,213.039993,211.097366,69281400
7/30/2019,208.759995,210.160004,207.309998,208.779999,206.87619,33935700
7/29/2019,208.460007,210.639999,208.440002,209.679993,207.76799,21673400
7/26/2019,207.479996,209.729996,207.139999,207.740005,205.845688,17618900
7/25/2019,208.889999,209.240005,206.729996,207.020004,205.132263,13909600
7/24/2019,207.669998,209.149994,207.169998,208.669998,206.767212,14991600
7/23/2019,208.460007,208.910004,207.289993,208.839996,206.935638,18355200
7/22/2019,203.649994,207.229996,203.610001,207.220001,205.330429,22277900
7/19/2019,205.789993,206.5,202.360001,202.589996,200.742645,20929300
7/18/2019,204,205.880005,203.699997,205.660004,203.784653,18582200
7/17/2019,204.050003,205.089996,203.270004,203.350006,201.495712,14107500
7/16/2019,204.589996,206.110001,203.5,204.5,202.635223,16866800
7/15/2019,204.089996,205.869995,204,205.210007,203.33876,16947400
7/12/2019,202.449997,204,202.199997,203.300003,201.446182,17595200
7/11/2019,203.309998,204.389999,201.710007,201.75,199.910309,20191800
7/10/2019,201.850006,203.729996,201.559998,203.229996,201.376816,17897100
7/9/2019,199.199997,201.509995,198.809998,201.240005,199.404968,20578000
7/8/2019,200.809998,201.399994,198.410004,200.020004,198.196075,25338600
7/5/2019,203.350006,205.080002,202.899994,204.229996,202.367676,17265500
7/3/2019,203.279999,204.440002,202.690002,204.410004,202.546051,11362000
7/2/2019,201.410004,203.130005,201.360001,202.729996,200.881363,16935200
7/1/2019,203.169998,204.490005,200.649994,201.550003,199.712143,27316700
6/28/2019,198.679993,199.5,197.050003,197.919998,196.115219,31110600
6/27/2019,200.289993,201.570007,199.570007,199.740005,197.91864,20899700
6/26/2019,197.770004,200.990005,197.350006,199.800003,197.978088,26067500
6/25/2019,198.429993,199.259995,195.289993,195.570007,193.786667,21070300
6/24/2019,198.539993,200.160004,198.169998,198.580002,196.769211,18220400
6/21/2019,198.800003,200.850006,198.149994,198.779999,196.967377,47800600
6/20/2019,200.369995,200.610001,198.029999,199.460007,197.64119,21514000
6/19/2019,199.679993,199.880005,197.309998,197.869995,196.065689,21124200
6/18/2019,196.050003,200.289993,195.210007,198.449997,196.640396,26551000
6/17/2019,192.899994,194.960007,192.169998,193.889999,192.121979,14669100
6/14/2019,191.550003,193.589996,190.300003,192.740005,190.982468,18761500
6/13/2019,194.699997,196.789993,193.600006,194.149994,192.379593,21674600
6/12/2019,193.949997,195.970001,193.389999,194.190002,192.41925,18221800
6/11/2019,194.860001,196,193.600006,194.809998,193.033585,26932900
6/10/2019,191.809998,195.369995,191.619995,192.580002,190.823929,26220900
6/7/2019,186.509995,191.919998,185.770004,190.149994,188.416077,30684400
6/6/2019,183.080002,185.470001,182.149994,185.220001,183.531036,22526300
6/5/2019,184.279999,184.990005,181.139999,182.539993,180.875458,29773400
6/4/2019,175.440002,179.830002,174.520004,179.639999,178.001923,30968000
6/3/2019,175.600006,177.919998,170.270004,173.300003,171.719727,40396100
5/31/2019,176.229996,177.990005,174.990005,175.070007,173.473602,27043600
5/30/2019,177.949997,179.229996,176.669998,178.300003,176.674149,21218400
5/29/2019,176.419998,179.350006,176,177.380005,175.762527,28481200
5/28/2019,178.919998,180.589996,177.910004,178.229996,176.604782,27948200
5/24/2019,180.199997,182.139999,178.619995,178.970001,177.338043,23714700
5/23/2019,179.800003,180.539993,177.809998,179.660004,178.021744,36529700
5/22/2019,184.660004,185.710007,182.550003,182.779999,181.113281,29748600
5/21/2019,185.220001,188,184.699997,186.600006,184.898468,28364800
5/20/2019,183.520004,184.350006,180.279999,183.089996,181.420471,38612300
5/17/2019,186.929993,190.899994,186.759995,189,187.276581,32879100
5/16/2019,189.910004,192.470001,188.839996,190.080002,188.346725,33031400
5/15/2019,186.270004,191.75,186.020004,190.919998,189.179062,26544700
5/14/2019,186.410004,189.699997,185.410004,188.660004,186.939667,36529700
5/13/2019,187.710007,189.479996,182.850006,185.720001,184.026489,57430600
5/10/2019,197.419998,198.850006,192.770004,197.179993,195.381973,41208700
5/9/2019,200.399994,201.679993,196.660004,200.720001,198.126709,34908600
5/8/2019,201.899994,205.339996,201.75,202.899994,200.278534,26339500
5/7/2019,205.880005,207.419998,200.830002,202.860001,200.239075,38763700
5/6/2019,204.289993,208.839996,203.5,208.479996,205.786469,32443100
5/3/2019,210.889999,211.839996,210.229996,211.75,209.014221,20892400
5/2/2019,209.839996,212.649994,208.130005,209.149994,206.4478,31996300
